type,selected_severity,description,location,target_severity,model_text
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות,במחסן,LOW,type_CLEANLINESS selected_LOW location_במחסן צריך ניקיון רגיל בחדר מדרגות
SAFETY,HIGH,מרצפת מעט עקומה ללא סכנה מיידית זה קורה כבר כמה פעמים,במחסן,LOW,type_SAFETY selected_HIGH location_במחסן מרצפת מעט עקומה ללא סכנה מיידית זה קורה כבר כמה פעמים
SAFETY,HIGH,עשן יוצא מחדר החשמל,ליד ארון החשמל,HIGH,type_SAFETY selected_HIGH location_ליד ארון החשמל עשן יוצא מחדר החשמל
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב,בקומה 2,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 2 נדרש טיפול של ועד הבית בזמן הקרוב
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי,,HIGH,type_OTHER selected_HIGH location_ אירוע חירום שדורש טיפול מיידי
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם,בקומה 2,HIGH,type_NOISE selected_HIGH location_בקומה 2 רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים,בחדר אשפה,LOW,type_NOISE selected_LOW location_בחדר אשפה מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם
OTHER,HIGH,צריך לבדוק משהו לא דחוף נא לטפל בהקדם,בקומה 1,LOW,type_OTHER selected_HIGH location_בקומה 1 צריך לבדוק משהו לא דחוף נא לטפל בהקדם
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום,בקומה 5,LOW,type_NOISE selected_LOW location_בקומה 5 שומעים מעט רעש מהשכנים במהלך היום
NOISE,LOW,רעש מתמשך מהחניה,בקומה 1,MEDIUM,type_NOISE selected_LOW location_בקומה 1 רעש מתמשך מהחניה
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול,,MEDIUM,type_OTHER selected_MEDIUM location_ בעיה שחוזרת כמה פעמים ודורשת טיפול
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים הדיירים התלוננו על זה,בחדר אשפה,MEDIUM,type_OTHER selected_MEDIUM location_בחדר אשפה תקלה לא מסוכנת אבל מפריעה לדיירים הדיירים התלוננו על זה
